City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,Byron+Bay,-28.65,153.6167,292.12,75,76,2.88,AU,2021-09-18 19:01:27
259,Kadoma,34.7333,135.5833,297.14,76,98,3.92,JP,2021-09-18 19:01:28
260,Kuala+Terengganu,5.3302,103.1408,298.59,86,100,2.04,MY,2021-09-18 19:01:28
261,Micheweni,-4.9667,39.8333,297.78,82,5,6.21,TZ,2021-09-18 19:01:29
262,Dalbandin,28.8947,64.4101,302.83,8,100,0.67,PK,2021-09-18 19:01:30
263,Maumere,-8.6199,122.2111,298.2,71,100,1.42,ID,2021-09-18 19:01:30
264,Sambava,-14.2667,50.1667,295.01,83,37,1.66,MG,2021-09-18 19:01:30
265,Codrington,-38.2667,141.9667,283.44,74,100,8.82,AU,2021-09-18 19:01:31
266,Batagay-Alyta,67.8006,130.4114,271.07,95,100,2.42,RU,2021-09-18 19:01:32
267,Erenhot,43.6475,111.9767,292.39,33,100,3.42,CN,2021-09-18 19:01:32
268,Vranjska+Banja,42.555,21.9922,289.75,94,5,1.51,RS,2021-09-18 19:01:33
269,Okitipupa,6.5047,4.7839,296.94,91,99,1.13,NG,2021-09-18 19:01:33
270,Cidreira,-30.1811,-50.2056,293.09,89,53,3.27,BR,2021-09-18 19:01:34
271,Olafsvik,64.8945,-23.7142,280.29,86,100,6.98,IS,2021-09-18 19:01:34
272,Bubaque,11.2833,-15.8333,300.86,77,47,3.51,GW,2021-09-18 19:01:35
273,Pergamino,-33.89,-60.5736,300.47,41,0,3.9,AR,2021-09-18 19:01:36
274,Sitka,57.0531,-135.33,285.45,77,100,0.89,US,2021-09-18 19:01:36
275,Tuensang,26.2833,94.8333,293.65,98,100,0.68,IN,2021-09-18 19:01:37
276,Norman+Wells,65.282,-126.8329,282.58,66,100,4.23,CA,2021-09-18 19:01:37
277,Khonsa,27.0167,95.5667,292.27,98,90,1.14,IN,2021-09-18 19:01:38
278,Bartica,6.4,-58.6167,298.33,66,93,2.67,GY,2021-09-18 19:01:38
279,Along,28.1667,94.7667,294.63,99,48,0.64,IN,2021-09-18 19:01:39
280,Mehran,33.1222,46.1646,306.21,20,0,5.2,IR,2021-09-18 19:01:39
281,Port+Hardy,50.6996,-127.4199,285.3,89,100,5.42,CA,2021-09-18 19:01:40
282,Geraldton,-28.7667,114.6,280.38,93,0,1.54,AU,2021-09-18 19:01:40
283,Mandurah,-32.55,115.7,287.29,82,60,1.48,AU,2021-09-18 19:01:41
284,Iracoubo,5.4802,-53.2011,301.48,74,42,3.64,GF,2021-09-18 19:01:41
285,Kastrakion,39.7156,21.6181,295.53,55,0,2.35,GR,2021-09-18 19:01:42
286,Vestmannaeyjar,63.4427,-20.2734,284.11,88,35,8.8,IS,2021-09-18 19:01:42
287,Kiunga,-6.1219,141.2906,295.87,94,100,1.61,PG,2021-09-18 19:01:43
288,Lucea,18.451,-78.1736,304.18,78,76,7.62,JM,2021-09-18 19:01:43
289,Pangkalanbuun,-2.6833,111.6167,296.52,93,100,0.95,ID,2021-09-18 19:01:44
290,La+Palma,33.8464,-118.0467,302.57,66,40,0.89,US,2021-09-18 19:01:44
291,Surt,31.2089,16.5887,300.32,65,0,6.78,LY,2021-09-18 19:01:45
292,Impfondo,1.6381,18.0667,295.56,90,100,1.32,CG,2021-09-18 19:01:46
