City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
115,Sistranda,63.7256,8.834,286.43,87,100,3.1,NO,2021-09-16 23:45:34,overcast clouds
116,Kismayo,-0.3582,42.5454,297.95,85,99,6.53,SO,2021-09-16 23:53:17,overcast clouds
117,Kenai,60.5544,-151.2583,284.28,81,90,12.35,US,2021-09-16 23:49:46,overcast clouds
118,Ahipara,-35.1667,173.1667,287.28,86,97,5.87,NZ,2021-09-16 23:49:58,overcast clouds
119,Cabo+San+Lucas,22.8909,-109.9124,306.27,78,47,4.3,MX,2021-09-16 23:42:51,scattered clouds
120,Tasiilaq,65.6145,-37.6368,275.24,67,6,2.22,GL,2021-09-16 23:46:58,clear sky
121,Vardo,70.3705,31.1107,279.59,71,18,4.44,NO,2021-09-16 23:51:24,few clouds
122,San+Policarpo,12.1791,125.5072,300.42,82,100,1.21,PH,2021-09-16 23:53:19,overcast clouds
123,Nishihara,26.1842,127.7558,301.96,91,75,4.12,JP,2021-09-16 23:53:19,mist
124,Constitucion,-35.3333,-72.4167,283.85,87,0,5.87,CL,2021-09-16 23:47:14,clear sky
125,Xining,36.6167,101.7667,285.35,77,98,0.58,CN,2021-09-16 23:53:20,overcast clouds
126,Yar-Sale,66.8333,70.8333,276.49,91,98,4.64,RU,2021-09-16 23:50:24,overcast clouds
127,Bosaso,11.2842,49.1816,305.71,46,27,1.59,SO,2021-09-16 23:53:21,scattered clouds
128,Nouadhibou,20.931,-17.0347,297.14,78,0,8.23,MR,2021-09-16 23:50:41,clear sky
129,Adelaide,-34.9333,138.6,296.4,34,0,6.69,AU,2021-09-16 23:51:42,clear sky
130,Plavsk,53.7094,37.2919,278.23,75,71,0.89,RU,2021-09-16 23:53:22,broken clouds
131,Jamestown,42.097,-79.2353,294.95,76,1,1.79,US,2021-09-16 23:41:25,clear sky
132,Muzhi,65.3667,64.6667,275.67,80,78,6.62,RU,2021-09-16 23:53:23,broken clouds
133,Carutapera,-1.195,-46.02,298.81,85,1,2.78,BR,2021-09-16 23:50:41,clear sky
134,Pregradnoye,45.8218,41.7469,287.0,66,90,3.21,RU,2021-09-16 23:53:23,overcast clouds
135,Hit,33.6416,42.8251,300.89,38,0,4.07,IQ,2021-09-16 23:53:24,clear sky
